ProductID,ProductName
A,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm
B,AQ Zion Saga
C,AQ Mforce Gen X
D,AQ Mforce Gen Y
E,AQ Mforce Gen Z
F,AQ GT 21
G,AQ Marquee P3
H,AQ Marquee P4
I,AQ 5000 Series Electron 9 5900X Desktop Processor
J,AQ 5000 Series Electron 8 5900X Desktop Processor
K,AQ 5000 Series Ultron 8 5900X Desktop Processor
L,AQ Electron 5 3600 Desktop Processor
M,AQ Electron 4 3600 Desktop Processor
N,AQ Electron 3 3600 Desktop Processor
O,AQ MB Elite
P,AQ MB Crossx
Q,AQ MB Crossx 2
R,AQ MB Lito
S,AQ MB Lito 2
T,AQ Trigger Ms
